A0000101285
A0000101385
A0000160030
A0000180702
A0000180980
A0000184235
A0000185735
A0000188235
A0000188735
A0000189035
A0000189135
A0000320206
A0000377220
A0000531026
A0000533558
A0000535258
A0000535858
A0000700188
A0000700482
A0000700879
A0000721512
A0000722012
A0000722512
A0000780017
A0000780956
A0000784549
A0000784649
A0000789049
A0000901551
A0000906050
A0000907350
A0000909250
A0000912190
A0000925208
A0000944465
A0000945165
A0000961880
A0000980004
A0001314204
A0001317511
A0001317611
A0001321410
A0001400368
A0001400468
A0001400739
A0001400859
A0001401578
A0001402039
A0001402768
A0001402778
A0001402868
A0001402968
A0001403268
A0001403278
A0001403939
A0001403978
A0001405339
A0001405378
A0001405578
A0001405978
A0001407778
A0001407878
A0001420050
A0001423657
A0001427657
A0001427857
A0001428257
A0001501519
A0001501680
A0001502019
A0001504450
A0001506550
A0001506650
A0001506733
A0001506750
A0001506933
A0001507133
A0001507250
A0001507350
A0001508250
A0001508450
A0001508550
A0001508850
A0001509379
A0001509479
A0001509579
A0001509679
A0001509779
A0001509879
A0001509979
A0001530022
A0001530064
A0001530082
A0001530182
A0001530353
A0001530681
A0001531059
A0001532259
A0001532359
A0001532459
A0001532559
A0001535440
A0001535766
A0001539520
A0001539832
A0001539932
A0001542305
A0001542785
A0001558518
A0001802909
A0002000002
A0002000214
A0002002370
A0002003296
A0002006123
A0002006223
A0002006622
A0002006823
A0002007822
A0002008022
A0002008923
A0002009222
A0002009522
A0002009723
A0002011080
A0002011280
A0002020019
A0002020419
A0002340080
A0002361780
A0002414113
A0002420140
A0002500154
A0002500454
A0002500562
A0002501054
A0002501154
A0002501266
A0002501354
A0002501562
A0002510283
A0002510583
A0002510780
A0002511264
A0002512064
A0002512664
A0002513864
A0002513964
A0002514364
A0002514464
A0002514764
A0002514864
A0002515164
A0002515264
A0002515764
A0002515864
A0002525111
A0002525205
A0002540017
A0002540147
A0002540317
A0002540335
A0002540847
A0002541247
A0002541447
A0002541547
A0002541647
A0002541747
A0002541847
A0002541947
A0002543947
A0002545208
A0002570377
A0002602262
A0002603298
A0002604909
A0002624445
A0002628762
A0002641960
A0002644187
A0002670032
A0002670197
A0002671096
A0002681476
A0002685501
A0002686640
A0002686701
A0002686940
A0002702398
A0002704395
A0002950045
A0002950136
A0002950245
A0002950313
A0002950345
A0002950718
A0002950936
A0002951318
A0002952815
A0002953618
A0002955735
A0003121271
A0003121471
A0003123571
A0003123771
A0003200102
A0003200202
A0003202158
A0003220044
A0003220144
A0003220223
A0003220244
A0003220323
A0003220385
A0003220423
A0003221185
A0003222085
A0003223085
A0003223185
A0003223285
A0003236285
A0003237985
A0003238185
A0003240908
A0003241208
A0003241308
A0003250485
A0003250596
A0003250896
A0003251385
A0003260650
A0003262481
A0003262681
A0003264481
A0003265081
A0003265181
A0003265681
A0003272125
A0003276625
A0003276725
A0003276825
A0003277425
A0003277625
A0003277725
A0003278525
A0003279225
A0003279725
A0003280053
A0003282030
A0003282130
A0003282225
A0003282325
A0003283430
A0003283730
A0003284330
A0003284430
A0003284530
A0003310240
A0003501549
A0003504205
A0003505205
A0003531273
A0004002713
A0004006802
A0004010024
A0004010124
A0004010672
A0004010971
A0004011072
A0004012371
A0004012372
A0004012471
A0004012913
A0004012971
A0004013071
A0004013371
A0004013471
A0004013571
A0004013771
A0004013871
A0004013971
A0004014171
A0004014471
A0004014571
A0004015702
A0004016671
A0004016771
A0004016871
A0004016971
A0004017171
A0004019271
A0004103901
A0004104001
A0004105001
A0004108601
A0004200148
A0004200184
A0004200284
A0004201048
A0004202048
A0004202602
A0004202626
A0004202702
A0004203048
A0004203426
A0004203926
A0004203948
A0004205648
A0004207326
A0004208671
A0004208771
A0004260122
A0004280072
A0004280472
A0004280473
A0004280673
A0004281072
A0004290042
A0004290142
A0004290444
A0004290527
A0004290640
A0004290927
A0004291034
A0004291127
A0004291739
A0004293838
A0004294224
A0004294237
A0004294324
A0004294438
A0004295444
A0004295695
A0004296501
A0004296632
A0004296634
A0004296732
A0004296832
A0004297224
A0004297234
A0004297334
A0004297734
A0004297834
A0004298630
A0004298730
A0004301070
A0004301469
A0004302070
A0004302370
A0004302526
A0004305395
A0004306026
A0004307306
A0004307926
A0004308126
