,Part Number,Quantity,BZA,DA,W,EHM,Baumuster,BU,Family,QVV,Component Number,KG,ANZ,Grouping,Component BU,Component Family,Jan/2019,Feb/2019,Mar/2019,Apr/2019,May/2019,Jun/2019,Jul/2019,Aug/2019,Sep/2019,Oct/2019,Nov/2019,Dec/2019,sum
1920069,A 694 684 77 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920070,A 694 684 77 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920071,A 694 684 78 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920072,A 694 684 78 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920073,A 694 684 83 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920074,A 694 684 83 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920133,A 694 720 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920134,A 694 720 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920139,A 694 720 72 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920140,A 694 720 72 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1983639,A 696 684 01 03,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1983640,A 696 684 01 03,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1983641,A 696 684 70 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1983642,A 696 684 70 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1983645,A 696 684 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1983646,A 696 684 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
3145786,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251828T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,1,1,1,1,2,1,1,1,1,11
3145787,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251847T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,0,0,1,0,0,0,0,1,3
3145788,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251862T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,4,3,4,3,3,0,3,0,4,0,5,30
3145789,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251880T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,0,0,1,1,1,1,1,1,1,0,8
3145790,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251852T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,2,1,3,2,3,1,2,1,2,18
3145791,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251885T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,1,0,1,0,1,0,0,3
3145792,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251887T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,1,0,1,0,0,0,0,1,1,5
3145793,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251888T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,1,1,0,1,1,1,0,0,5
3145794,A 958 680 00 05,1.0,U7,,,1,C958077,Truck,Atego,QVV17263849T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,3,0,0,0,0,0,0,0,0,0,0,5
3145795,A 958 680 00 05,1.0,U7,,,1,C958077,Truck,Atego,QVV17263864T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,3,3,2,2,2,2,3,1,2,22
3145796,A 958 680 00 05,1.0,U7,,,1,C958077,Truck,Atego,QVV17280164T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,0,1,0,0,1
3145797,A 958 680 00 05,1.0,U7,,,1,C958078,Truck,Atego,QVV17264040T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,6,0,0,0,0,0,0,0,0,0,6
3145798,A 958 680 00 05,1.0,U7,,,1,C958096,Truck,Atego,QVV24254297T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,1,1,1,1,1,1,0,1,8
3145799,A 958 680 00 05,1.0,U7,,,1,C958096,Truck,Atego,QVV24281212T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,1,1,1,1,1,1,0,0,6
3145800,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17263770T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,1,0,0,1,1,0,0,1,5
3145801,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17263957T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,0,0,1,0,0,0,0,0,2
3145802,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17263986T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,1,0,0,0,1,0,0,2
3145803,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17264043T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,0,0,0,0,0,0,0,0,0,0,0,2
3145804,A 958 680 00 05,1.0,U7,,,1,C958152,Truck,Atego,QVV17263605T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,3,5,0,0,0,0,0,0,0,0,0,0,8
3145805,A 958 680 00 05,1.0,U7,,,1,C958152,Truck,Atego,QVV17263790CTT,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,1,0,0,0,1,0,0,2
3145806,A 958 680 00 05,1.0,U7,,,1,C958152,Truck,Atego,QVV17263873T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,5,4,5,4,5,4,4,3,4,40
3145807,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263598T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,12,12,13,12,13,13,14,12,13,12,12,140
3145808,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263618T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,4,0,0,0,0,0,0,0,0,0,0,6
3145809,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263692T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,5,6,0,0,0,0,0,0,0,0,0,0,11
3145810,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263755T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,2,2,2,2,1,3,2,2,3,2,0,22
3145811,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263756T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,7,7,7,7,9,7,7,6,10,8,7,1,83
3145812,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263757T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,0,0,0,0,0,0,0,1,0,0,2
3145813,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263758T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,1,1,0,0,0,0,2
3145814,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263826T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,0,1,0,0,1,2,0,1,1,0,7
3145815,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263876T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,6,7,6,6,7,6,6,5,6,57
3145816,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263877T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,0,0,1,0,1,1,1,0,1,0,0,7
3145817,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263882T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,1,0,1,1,0,0,1,0,0,1,6
3145818,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263884T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,4,3,3,4,3,3,3,2,3,29
3145819,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263901T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,1,0,0,0,1
3145820,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263958T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,1,1,0,1,3
3145821,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263998T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,1,0,0,0,1
3145822,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263999T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,1,1,0,0,1,0,0,0,0,4
3145823,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17264036T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,0,1,1,0,0,0,0,0,0,3
3145824,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290479T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,10,5,0,0,0,0,0,0,0,0,0,0,15
3145825,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290480T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,7,13,14,13,13,14,0,0,0,0,0,0,74
3145826,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290494T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,1,1,1,2,1,1,2,1,1,1,13
3145827,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290509T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,17,5,5,5,0,0,0,0,0,0,32
3145828,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290510T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,0,0,0,0,0,0,0,0,0,1
3145829,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290516T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,2,2,2,2,1,2,2,2,2,2,2,21
3145830,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290517T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,0,0,0,0,0,0,0,0,1
3145831,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290527T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,3,3,3,3,4,0,0,0,0,0,0,17
3145832,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290535T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,0,0,1,0,0,0,0,0,0,0,2
3145833,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290537T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,3,2,3,3,3,0,0,0,0,0,0,16
3145834,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290546T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,5,5,5,4,3,4,26
3145835,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290549T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,1,1,0,1,1,0,4
3145836,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290550T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,3,3,3,3,3,3,18
3145837,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290551T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,13,13,14,13,13,14,80
3145838,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290552T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,3,3,4,4,3,1,18
3145839,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290558T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,1,0,0,1,0,0,2
3145840,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290561T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,5,6,5,5,6,5,0,0,0,0,0,0,32
3145841,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290563T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,5,6,5,5,6,6,33
3145842,A 958 680 00 05,1.0,U7,,,1,C958156,Truck,Atego,QVV17263673T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,9,16,17,17,17,18,17,17,15,15,13,171
3145843,A 958 680 00 05,1.0,U7,,,1,C958156,Truck,Atego,QVV17263919T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,4,3,3,3,3,4,4,3,4,3,3,37
3145844,A 958 680 00 05,1.0,U7,,,1,C958156,Truck,Atego,QVV17263939T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,3,3,4,3,3,3,3,4,3,3,4,37
3145845,A 958 680 00 05,1.0,U7,,,1,C958156,Truck,Atego,QVV17264041T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,40,0,0,0,0,0,0,0,0,0,0,0,40
3145846,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24267859T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,8,9,0,0,0,0,0,0,0,0,0,0,17
3145847,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24267952T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,0,0,0,0,0,0,1,0,0,2
3145848,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24267982T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,1,1,0,0,0,0,0,0,3
3145849,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24267993T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,5,5,6,7,8,6,8,6,7,9,6,2,75
3145850,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268012T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,2,0,0,1,0,0,3
3145851,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268022T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,1,0,1,1,1,1,1,1,1,1,1,11
3145852,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268025T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,8,9,8,8,8,8,8,7,5,8,77
3145853,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268033T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,0,0,0,0,0,1,0,1,1,0,4
3145854,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268068T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,0,1,1,1,0,0,1,0,0,0,5
3145855,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268070T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,1,0,0,0,1,1,0,0,4
3145856,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268097T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,1,1,0,0,0,1,1,1,1,0,7
3145857,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268113T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,22,27,25,28,32,24,30,28,30,34,26,7,313
3145858,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268116T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,0,2,0,0,1,1,0,0,0,0,5
3145859,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268119T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,0,1,0,0,1
3145860,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268120T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,6,7,6,7,8,6,8,7,7,8,6,1,77
3145861,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268132T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,2,2,1,2,2,2,3,2,1,19
3145862,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268148T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,0,1,0,1,1,1,0,0,0,5
3145863,A 958 680 00 05,1.0,U7,,,1,C958164,Truck,Atego,QVV24268149T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,1,1,1,0,1,1,1,1,0,0,8
3145864,A 958 680 00 05,1.0,U7,,,1,C958166,Truck,Atego,QVV24267996T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,1,2,1,1,1,1,2,2,3,2,1,19
3145865,A 958 680 00 05,1.0,U7,,,1,C958166,Truck,Atego,QVV24268036T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,1,1,1,2,1,1,1,2,2,2,1,17
3145866,A 958 680 00 05,1.0,U7,,,1,C958166,Truck,Atego,QVV24268094T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,1,0,0,1,0,0,0,0,0,0,3
3145867,A 958 680 00 05,1.0,U7,,,1,C958166,Truck,Atego,QVV24268096T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,1,0,0,0,1,0,0,0,2
3145868,A 958 680 00 05,1.0,U7,,,1,C958166,Truck,Atego,QVV24268151T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,0,0,0,1,1,1,1,0,0,5
3145869,A 958 680 00 05,1.0,U7,,,1,C958170,Truck,Atego,QVV27300607T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,2,0,0,0,0,0,0,0,0,0,0,2
3145870,A 958 680 00 05,1.0,U7,,,1,C958170,Truck,Atego,QVV27300652T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,3,3,3,3,3,3,3,3,3,3,3,3,36
3145871,A 958 680 00 05,1.0,U7,,,1,C958170,Truck,Atego,QVV27300713T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,2,3,3,3,3,4,6,2,0,28
3145872,A 958 680 00 05,1.0,U7,,,1,C958170,Truck,Atego,QVV27300714T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,1,1,0,0,2
3145873,A 958 680 00 05,1.0,U7,,,1,C958170,Truck,Atego,QVV27300751T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,2,3,4,4,4,4,4,2,3,3,1,35
3145874,A 958 680 00 05,1.0,U7,,,1,C958174,Truck,Atego,QVV27300600T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,7,7,7,7,7,7,7,7,7,7,7,7,84
3145875,A 958 680 00 05,1.0,U7,,,1,C958174,Truck,Atego,QVV27300775T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,0,0,0,1,0,0,0,1,1,4
3145876,A 958 680 00 05,1.0,U7,,,1,C958174,Truck,Atego,QVV27300785T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,2,2,3,2,2,2,2,1,2,2,1,21
3145877,A 958 680 00 05,1.0,U7,,,1,C958174,Truck,Atego,QVV27300796T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,3,0,0,0,0,0,0,0,0,0,0,0,3
3145878,A 958 680 00 05,1.0,U7,,,1,C958186,Truck,Atego,QVV30260203T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,1,0,0,0,1,1,0,0,2,0,0,7
3145879,A 958 680 00 05,1.0,U7,,,1,C958186,Truck,Atego,QVV30260215T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,1,0,0,0,1,0,0,0,0,0,3
3145880,A 958 680 00 05,1.0,U7,,,1,C958186,Truck,Atego,QVV30260217T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,3,2,2,2,2,2,3,2,2,4,3,0,27
3146350,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310697T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,4,4,0,0,0,0,0,0,0,0,0,0,8
3146351,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310698T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,2,3,0,0,0,0,0,0,0,0,0,0,5
3146352,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310728T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,8,7,7,7,7,7,7,7,7,7,7,7,85
3146353,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310776T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,0,3,3,4,3,4,4,3,4,3,3,34
3146354,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310777T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,0,3,2,3,3,2,3,3,2,2,1,24
3146355,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310791T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,1,0,0,0,0,0,0,0,1,0,1,0,3
3146356,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310801T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,3,2,4,4,4,4,4,4,3,4,2,0,38
3146357,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310809T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,0,1,0,0,1,0,0,0,0,0,0,2
3146358,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310810T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,0,0,1,1,0,1,1,1,1,1,0,7
3146359,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310812T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,1,1,1,1,0,1,0,0,1,0,0,6
3146360,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310820T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,1,0,0,0,0,0,0,0,0,0,0,0,1
3146361,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310822T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,1,0,0,0,0,0,0,0,0,0,0,1
3146362,A 958 680 01 05,1.0,U7,,,1,C958260,Truck,Axor,QVV31310832T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,0,0,1,0,0,0,1,1,1,0,0,4
3146363,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310729T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,1,0,0,0,0,0,0,0,0,0,0,0,1
3146364,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310734T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,1,1,1,2,2,1,1,0,0,0,0,9
3146365,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310752T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,0,1,1,3,2,0,2,1,2,0,0,12
3146366,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310759T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,4,3,3,3,3,4,4,4,3,3,3,3,40
3146367,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310779T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,0,0,1,1,0,1,1,1,1,1,1,0,8
3146368,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310802T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,6,7,8,10,9,6,9,8,8,9,7,0,87
3146369,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310806T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,1,2,2,3,1,1,3,1,1,2,2,1,20
3146370,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310807T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,1,0,0,0,0,0,0,0,0,0,0,0,1
3146371,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310808T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,1,1,0,1,0,0,1,1,1,1,1,0,8
3146372,A 958 680 01 05,1.0,U7,,,1,C958264,Truck,Axor,QVV31310813T,Z 536.230/68,S681,1,Aggregate SAA D958870,Cabin,,1,0,1,1,0,0,0,0,1,0,0,0,4
